epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,215.982,0.5164,0.5213,0.86204,0.90226,0.85813,0.92537,0.81489,0.47347,0.49284,0.84045,0.000363075,0.000363075,0.000363075
36,222.752,0.50978,0.51427,0.86751,0.92175,0.86661,0.92917,0.8125,0.46606,0.47519,0.83674,0.000341077,0.000341077,0.000341077
37,229.574,0.48927,0.4885,0.86497,0.90975,0.88861,0.94064,0.83309,0.45742,0.4604,0.83974,0.000319079,0.000319079,0.000319079
38,236.382,0.502,0.49643,0.86078,0.90371,0.88394,0.93034,0.82613,0.4764,0.48838,0.83522,0.000297081,0.000297081,0.000297081
39,243.202,0.50504,0.48373,0.86347,0.88524,0.91928,0.94224,0.83551,0.46102,0.44451,0.83388,0.000275084,0.000275084,0.000275084
40,250.077,0.50777,0.49721,0.85991,0.9136,0.87154,0.92778,0.82394,0.4453,0.44531,0.83303,0.000253086,0.000253086,0.000253086
41,270.402,0.48191,0.46929,0.83514,0.88537,0.87095,0.92501,0.81638,0.45256,0.46339,0.84597,0.000231088,0.000231088,0.000231088
42,276.952,0.4614,0.44303,0.83079,0.91566,0.88541,0.94178,0.83507,0.44534,0.45379,0.8285,0.00020909,0.00020909,0.00020909
43,283.57,0.46497,0.44145,0.83097,0.887,0.88498,0.91809,0.80588,0.46192,0.47437,0.83838,0.000187092,0.000187092,0.000187092
44,290.157,0.46342,0.42283,0.83307,0.92671,0.88459,0.93702,0.8267,0.4511,0.44822,0.83241,0.000165095,0.000165095,0.000165095
45,296.531,0.4608,0.42229,0.82455,0.91074,0.8952,0.94453,0.83838,0.44159,0.43289,0.83799,0.000143097,0.000143097,0.000143097
46,302.95,0.45761,0.4185,0.81654,0.90935,0.89246,0.9423,0.83777,0.4389,0.42798,0.84042,0.000121099,0.000121099,0.000121099
47,309.333,0.45128,0.40511,0.81873,0.91283,0.89878,0.93825,0.82883,0.44936,0.43805,0.82732,9.91012e-05,9.91012e-05,9.91012e-05
48,315.689,0.45175,0.40872,0.82908,0.88667,0.91462,0.93717,0.84028,0.4263,0.42135,0.83237,7.71034e-05,7.71034e-05,7.71034e-05
49,322.092,0.44306,0.39468,0.82036,0.904,0.89163,0.94098,0.84285,0.42921,0.41712,0.83949,5.51056e-05,5.51056e-05,5.51056e-05
50,328.465,0.43446,0.39107,0.81721,0.90979,0.88896,0.94391,0.84181,0.4241,0.4114,0.83788,3.31078e-05,3.31078e-05,3.31078e-05
